Hybrid1
 1.00000     0.00081
 0.97656     0.00719
 0.93328     0.01788
 0.88847     0.02762
 0.84337     0.03672
 0.79815     0.04522
 0.75282     0.05312
 0.70742     0.06040
 0.66199     0.06696
 0.61657     0.07261
 0.57107     0.07725
 0.52548     0.08084
 0.47979     0.08340
 0.43407     0.08495
 0.38839     0.08542
 0.34280     0.08471
 0.29734     0.08267
 0.25207     0.07916
 0.20703     0.07406
 0.16244     0.06720
 0.11850     0.05822
 0.07582     0.04678
 0.03692     0.03231
 0.01244     0.01825
 0.00319     0.00902
 0.00007     0.00295
 0.00131    -0.00211
 0.00743    -0.00802
 0.02384    -0.01566
 0.05840    -0.02258
 0.10199    -0.02649
 0.14728    -0.02830
 0.19301    -0.02881
 0.23890    -0.02835
 0.28502    -0.02734
 0.33107    -0.02586
 0.37715    -0.02389
 0.42328    -0.02153
 0.46944    -0.01888
 0.51566    -0.01603
 0.56195    -0.01309
 0.60819    -0.01021
 0.65438    -0.00749
 0.70053    -0.00502
 0.74667    -0.00286
 0.79277    -0.00109
 0.83884     0.00024
 0.88489     0.00105
 0.93081     0.00124
 0.97578     0.00055
 1.00000    -0.00049
