Inter Root-UI1720
 1.00000     0.00128
 0.98215     0.00547
 0.94938     0.01227
 0.90833     0.01941
 0.86145     0.02690
 0.81291     0.03441
 0.76471     0.04163
 0.71638     0.04865
 0.66771     0.05554
 0.61906     0.06223
 0.57059     0.06865
 0.52223     0.07481
 0.47391     0.08068
 0.42570     0.08620
 0.37804     0.09124
 0.33153     0.09562
 0.28609     0.09914
 0.24230     0.10163
 0.20505     0.10236
 0.17242     0.10014
 0.14041     0.09494
 0.11036     0.08748
 0.08426     0.07838
 0.06241     0.06848
 0.04525     0.05885
 0.03216     0.04980
 0.02232     0.04165
 0.01489     0.03420
 0.00911     0.02702
 0.00478     0.02028
 0.00182     0.01414
 0.00006     0.00854
-0.00054     0.00335
 0.00006    -0.00150
 0.00210    -0.00611
 0.00566    -0.01059
 0.01083    -0.01501
 0.01757    -0.01925
 0.02587    -0.02301
 0.03634    -0.02624
 0.05025    -0.02901
 0.06954    -0.03161
 0.09633    -0.03412
 0.13223    -0.03627
 0.17439    -0.03767
 0.21908    -0.03823
 0.26499    -0.03783
 0.31203    -0.03661
 0.35994    -0.03480
 0.40834    -0.03255
 0.45711    -0.02997
 0.50625    -0.02717
 0.55570    -0.02423
 0.60531    -0.02121
 0.65483    -0.01818
 0.70417    -0.01523
 0.75348    -0.01240
 0.80274    -0.00969
 0.85151    -0.00714
 0.89921    -0.00487
 0.94440    -0.00296
 0.98086    -0.00143
 0.99962    -0.00063
